ct_shortname,bd_feb15avgdif_date,bd_feb15avgdif_holi,bd_feb29avgdif_date,bd_feb29avgdif_holi
西安,4.9118391304347835,5.2730130434782625,2.5175783783783787,2.742091891891892
安康,4.4886043478260875,4.114426086956525,1.385648648648648,1.1530513513513525
宝鸡,5.006365217391304,4.922834782608698,1.9757972972972966,1.923872972972974
汉中,4.640839130434784,4.379304347826088,1.6015216216216226,1.4389459459459468
商洛,3.9150521739130455,3.629286956521739,1.2406513513513526,1.0630135135135137
铜川,4.478826086956521,4.498008695652174,1.6993486486486487,1.711272972972973
渭南,5.032373913043478,4.892252173913042,2.193556756756757,2.106454054054054
咸阳,4.601621739130435,4.593452173913045,1.9964216216216224,1.9913432432432447
延安,4.631139130434784,4.680930434782612,1.7242243243243252,1.7551756756756776
榆林,4.604782608695652,4.674908695652174,1.5497108108108097,1.5933027027027027
成都,4.66722608695652,5.0248782608695635,1.953648648648647,2.1759729729729718
阿坝州,3.5032130434782625,3.5201260869565214,1.2227513513513517,1.2332648648648639
巴中,4.514847826086956,3.4889782608695663,0.9177459459459465,0.28004324324324426
达州,4.489869565217389,3.7320086956521745,1.6105216216216207,1.1394189189189192
德阳,4.537817391304348,4.400669565217392,1.6663972972972965,1.5811432432432428
甘孜州,3.1146043478260874,3.2171739130434784,1.1628810810810815,1.2266405405405405
广安,5.116656521739134,4.269995652173915,1.793021621621623,1.2667189189189187
广元,3.999534782608693,3.373460869565217,0.716697297297296,0.32751621621621574
乐山,4.36671304347826,4.30495217391304,1.2826297297297296,1.244237837837836
凉山州,3.687034782608696,3.5570739130434785,0.8456027027027027,0.7648162162162162
泸州,4.806330434782611,4.361169565217392,1.7007405405405418,1.4240189189189199
南充,4.938665217391305,4.2556130434782595,1.6049621621621624,1.1803621621621607
眉山,4.322386956521742,4.180643478260869,1.5157675675675697,1.427656756756757
绵阳,4.67162608695652,4.375534782608696,1.5521864864864852,1.3681297297297301
内江,4.565556521739131,4.116465217391303,1.5587324324324316,1.279567567567566
攀枝花,4.045434782608693,4.092604347826088,1.3288189189189175,1.3581405405405413
遂宁,4.910104347826088,4.233969565217391,2.0234378378378386,1.6031378378378376
雅安,4.211613043478259,4.0383913043478294,1.34672162162162,1.2390432432432452
宜宾,4.550821739130433,4.160382608695653,1.3606945945945927,1.1179891891891893
资阳,4.505221739130437,3.797021739130436,1.4191891891891912,0.9789567567567574
自贡,4.443060869565217,3.9588782608695636,1.2098351351351346,0.9088567567567556
拉萨,2.921904347826088,3.260086956521739,1.0667054054054066,1.2769270270270272
阿里,1.8922217391304343,2.04585652173913,0.5294513513513512,0.6249540540540541
昌都,2.1982869565217396,2.4585913043478262,0.4928621621621616,0.654672972972973
林芝,2.3275695652173916,2.5796782608695645,0.6981729729729733,0.8548891891891892
那曲,2.286013043478262,2.554369565217391,0.5474675675675678,0.7142837837837837
日喀则,2.189117391304347,2.2257956521739124,0.3405405405405406,0.3633405405405403
山南,2.4615478260869574,2.4611347826086956,0.6230972972972979,0.6228405405405408
