name,nativeplace,partytime,education,firstjobtime,edu,nativeprov,STEM_major?
兰开驰,四川省绵阳市三台县,1984-08-01 00:00:00.000000000,硕士研究生,1980-08-01 00:00:00.000000000,19,四川,False
汪莹纯,安徽省安庆市宿松县,1985-07-01 00:00:00.000000000,农学学士,1982-08-01 00:00:00.000000000,16,安徽,True
张岳峰,安徽省安庆市潜山县,1991-06-01 00:00:00.000000000,"安徽师范大学中文系汉语言文学专业毕业, 大学学历, ",1985-07-01 00:00:00.000000000,16,安徽,False
侯红,河南省南阳市社旗县,1987-08-01 00:00:00.000000000,硕士研究生,1990-05-01 00:00:00.000000000,19,河南,False
周斌,河南省周口市太康县,1990-10-01 00:00:00.000000000,硕士研究生,1983-07-01 00:00:00.000000000,19,河南,False
袁光平,重庆市,1986-10-01 00:00:00.000000000,"研究生学历, 经济学博士学位, 1983.09武汉",1990-07-01 00:00:00.000000000,22,重庆,False
王忠,贵州省仁怀市,1983-04-01 00:00:00.000000000,"中央党校研究生学历, 1979年10月至1984年1月解",1984-01-01 00:00:00.000000000,19,贵州,False
张志川,河南省荥阳市,1997-06-01 00:00:00.000000000,博士研究生,1982-07-01 00:00:00.000000000,22,河南,True
郑栅洁,福建省漳州市,1985-06-01 00:00:00.000000000,在职研究生学历,1982-08-01 00:00:00.000000000,19,福建,False
陈星,河南省商丘市虞城县,1985-06-01 00:00:00.000000000,硕士研究生,1989-08-01 00:00:00.000000000,19,河南,False
潘启胜,湖北省鄂州市,1992-04-01 00:00:00.000000000,硕士研究生,1986-04-18 23:15:41.538461568,19,湖北,False
俞东来,浙江省杭州市,1986-11-01 00:00:00.000000000,本科,1981-12-01 00:00:00.000000000,16,浙江,False
张国伟,河南省南阳市西峡县,1984-11-01 00:00:00.000000000,硕士研究生,1982-08-01 00:00:00.000000000,19,河南,False
刘继标,河南省洛阳市伊川县,1984-11-01 00:00:00.000000000,硕士研究生,1995-08-01 00:00:00.000000000,19,河南,False
回建,河北省沧州市沧县,1982-12-01 00:00:00.000000000,博士研究生,1981-01-01 00:00:00.000000000,22,河北,False
李乐成,湖北省荆州市监利县,1991-12-01 00:00:00.000000000,本科,1984-07-01 00:00:00.000000000,16,湖北,True
韩立华,黑龙江省绥化市兰西县,1986-06-01 00:00:00.000000000,博士研究生,1989-07-01 00:00:00.000000000,22,黑龙江,True
王宏,安徽省马鞍山市当涂县,1995-06-01 00:00:00.000000000,博士研究生,1990-07-01 00:00:00.000000000,22,安徽,True
郑人豪,广东省汕头市,1988-12-01 00:00:00.000000000,博士研究生,1990-07-01 00:00:00.000000000,22,广东,False
范锐平,湖北省荆门市钟祥市,1985-05-01 00:00:00.000000000,硕士研究生,1984-08-01 00:00:00.000000000,19,湖北,False
杨亚林,云南,1991-12-01 00:00:00.000000000,在职硕士,1982-08-01 00:00:00.000000000,19,云南,False
徐海荣,重庆市,1984-06-01 00:00:00.000000000,硕士研究生,1985-07-01 00:00:00.000000000,19,重庆,False
赵文泉,安徽省合肥市长丰县,1994-11-01 00:00:00.000000000,本科,1986-07-01 00:00:00.000000000,16,安徽,False
潘朝晖,安徽省黄山市歙县,1986-06-01 00:00:00.000000000,硕士研究生,1986-07-01 00:00:00.000000000,19,安徽,False
丁红都,河南省偃师市,1984-05-01 00:00:00.000000000,本科,1985-07-01 00:00:00.000000000,16,河南,True
王革冰,河南省南阳市唐河县,1987-04-01 00:00:00.000000000,硕士研究生,1982-07-01 00:00:00.000000000,19,河南,False
阿布,西藏自治区拉萨市,1992-04-01 00:00:00.000000000,硕士研究生,1989-07-01 00:00:00.000000000,19,西藏,False
戴征社,陕西省咸阳市武功县,1986-12-01 00:00:00.000000000,本科,1982-07-01 00:00:00.000000000,16,陕西,True
苏君,江苏省邳州市,1991-09-01 00:00:00.000000000,硕士研究生,1984-07-01 00:00:00.000000000,19,江苏,False
